user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
MEGAHIT-MetaBAT2Refined-Sample_ID6-KJ_3_BOTTOM.4_sub.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__						GCA_002478145.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__UBA7540 sp002478145	95.1	0.625	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		92.31	11.0	0.9871	
MEGAHIT-DASToolUnbinned-Sample_ID2-KJ_1_BOTTOM.fa	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__											d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		31.5	11.0	0.99181	Genome has more than 10.8% of markers with multiple hits
MEGAHIT-DASToolUnbinned-Sample_ID4-KJ_2_BOTTOM.fa	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__DRUK01;s__											d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__;s__	taxonomic novelty determined using RED			13.94	11.0	0.88379	Genome domain questionable ( 11.7% Bacterial, 20.8% Archaeal)
MEGAHIT-DASToolUnbinned-Sample_ID8-KJ_5_BOTTOM.fa	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Methanomethylicales;f__Methanomethylicaceae;g__JACTUC01;s__											d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Methanomethylicales;f__Methanomethylicaceae;g__;s__	taxonomic novelty determined using RED			29.49	11.0	0.95164	Genome has more than 22.6% of markers with multiple hits
MEGAHIT-CONCOCTRefined-Sample_ID4-KJ_2_BOTTOM.12.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__						GCA_002478145.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__UBA7540 sp002478145	95.71	0.622	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		85.98	11.0	0.98815	
MEGAHIT-MetaBAT2Refined-Sample_ID4-KJ_2_BOTTOM.3_sub.fa	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__						GCA_002311635.1	95.0	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__UBA1163 sp002311635			d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002780715.1, s__UBA1163 sp002780715, 95.0, 86.03, 0.165	89.51	11.0	0.91578	
MEGAHIT-DASToolUnbinned-Sample_ID5-KJ_3_TOP.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__QIAJ01;s__						GCA_003139995.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__QIAJ01;s__QIAJ01 sp003139995			d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__QIAJ01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003138955.1, s__QIAJ01 sp003138955, 95.0, 93.14, 0.19	26.0	11.0	0.97677	Genome has more than 62.5% of markers with multiple hits
MEGAHIT-MetaBAT2-Sample_ID2-KJ_1_BOTTOM.1.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__						GCA_003154775.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__Acidoferrum sp003154775	89.63	0.501	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002478115.1, s__Acidoferrum typicum, 95.0, 89.79, 0.421	90.55	11.0	0.98803	
MEGAHIT-MetaBAT2-Sample_ID2-KJ_1_BOTTOM.2.fa	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__						GCA_002780715.1	95.0	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__UBA1163 sp002780715	87.16	0.151	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		90.45	11.0	0.92328	
MEGAHIT-MetaBAT2-Sample_ID2-KJ_1_BOTTOM.3.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__						GCA_002478145.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__UBA7540 sp002478145	95.29	0.626	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		89.0	11.0	0.98746	
MEGAHIT-DASToolUnbinned-Sample_ID1-KJ_1_TOP.fa	d__Bacteria;p__SZUA-182;c__SZUA-182;o__;f__;g__;s__											d__Bacteria;p__SZUA-182;c__SZUA-182;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree		21.47	11.0	0.42277	backbone tree has incongruent class classification;Genome has more than 56.7% of markers with multiple hits
MEGAHIT-CONCOCTRefined-Sample_ID8-KJ_5_BOTTOM.0.fa	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__						GCA_003170415.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__Fen-1362 sp003170415	90.75	0.568	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003141275.1, s__Fen-1362 sp003141275, 95.0, 88.09, 0.388; GCA_903857265.1, s__Fen-1362 sp903857265, 95.0, 84.28, 0.229	85.68	11.0	0.99335	
MEGAHIT-CONCOCTRefined-Sample_ID8-KJ_5_BOTTOM.21.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__						GCA_003141525.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003141525	92.08	0.344	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003141715.1, s__LD21 sp003141715, 95.0, 89.99, 0.165	78.83	11.0	0.98803	
MEGAHIT-CONCOCTRefined-Sample_ID8-KJ_5_BOTTOM.26.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Fen-330;s__						GCA_003137035.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Fen-330;s__Fen-330 sp003137035	90.36	0.201	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Fen-330;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		54.5	11.0	0.96958	
MEGAHIT-CONCOCTRefined-Sample_ID8-KJ_5_BOTTOM.30.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__						GCA_003154775.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__Acidoferrum sp003154775	89.81	0.512	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002478115.1, s__Acidoferrum typicum, 95.0, 89.34, 0.435	90.45	11.0	0.9886	
MEGAHIT-CONCOCTRefined-Sample_ID8-KJ_5_BOTTOM.31.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__Bog-366;s__						GCA_003171295.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__Bog-366;s__Bog-366 sp003171295	90.83	0.31	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__Bog-366;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		87.98	11.0	0.96059	
MEGAHIT-CONCOCTRefined-Sample_ID8-KJ_5_BOTTOM.38.fa	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__						GCA_002780715.1	95.0	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__UBA1163 sp002780715	85.52	0.172	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		88.74	11.0	0.92415	
MEGAHIT-CONCOCTRefined-Sample_ID8-KJ_5_BOTTOM.44.fa	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__UBA877;s__											d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__UBA877;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		80.5	11.0	0.96171	
MEGAHIT-CONCOCTRefined-Sample_ID8-KJ_5_BOTTOM.7.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__						GCA_002478145.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__UBA7540 sp002478145	94.64	0.616	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		94.8	11.0	0.9874	
MEGAHIT-MetaBAT2Refined-Sample_ID8-KJ_5_BOTTOM.20.fa	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Fen-1467;s__Fen-1467 sp903940425	GCA_903940425.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Fen-1467;s__Fen-1467 sp903940425	97.46	0.693							ani_screen	classification based on ANI only	GCA_003142615.1, s__Fen-1467 sp003142615, 95.0, 96.79, 0.653				
MEGAHIT-MetaBAT2Refined-Sample_ID8-KJ_5_BOTTOM.9.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__;s__											d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree		71.76	11.0	0.84913	
MEGAHIT-CONCOCTRefined-Sample_ID2-KJ_1_BOTTOM.27.fa	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__											d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		87.11	11.0	0.92385	
MEGAHIT-CONCOCTRefined-Sample_ID2-KJ_1_BOTTOM.7_sub.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__						GCA_003154775.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__Acidoferrum sp003154775	89.57	0.495	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002478115.1, s__Acidoferrum typicum, 95.0, 89.83, 0.421	89.45	11.0	0.98787	
MEGAHIT-MetaBAT2Refined-Sample_ID2-KJ_1_BOTTOM.3.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__						GCA_002478145.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__UBA7540 sp002478145	95.29	0.626	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		89.0	11.0	0.98746	
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.14.fa	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__DRUK01;s__											d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__;s__	taxonomic novelty determined using RED			75.12	11.0	0.86132	
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.17.fa	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__DRUK01;s__											d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__;s__	taxonomic novelty determined using RED			95.6	11.0	0.86307	
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.7.fa	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Conexivisphaerales;f__DTJL01;g__;s__											d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Conexivisphaerales;f__;g__;s__	taxonomic novelty determined using RED			26.3	11.0	0.68878	
MEGAHIT-MetaBAT2-Sample_ID4-KJ_2_BOTTOM.3.fa	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__						GCA_002311635.1	95.0	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__UBA1163 sp002311635			d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002780715.1, s__UBA1163 sp002780715, 95.0, 86.03, 0.165	89.51	11.0	0.91578	
MEGAHIT-MetaBAT2-Sample_ID4-KJ_2_BOTTOM.4.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__						GCA_002478145.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__UBA7540 sp002478145	95.73	0.62	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		89.41	11.0	0.98702	
MEGAHIT-CONCOCTRefined-Sample_ID8-KJ_5_BOTTOM.35.fa	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Conexivisphaerales;f__DTJL01;g__;s__											d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Conexivisphaerales;f__;g__;s__	taxonomic novelty determined using RED			51.05	11.0	0.69046	
MEGAHIT-CONCOCTRefined-Sample_ID8-KJ_5_BOTTOM.8_sub.fa	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__DRUK01;s__											d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__;s__	taxonomic novelty determined using RED			79.53	11.0	0.86031	
MEGAHIT-MetaBAT2Refined-Sample_ID8-KJ_5_BOTTOM.17.fa	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__DRUK01;s__											d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__;s__	taxonomic novelty determined using RED			95.6	11.0	0.86307	
MEGAHIT-MetaBAT2-Sample_ID6-KJ_3_BOTTOM.1.fa	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__UBA877;s__											d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__UBA877;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		33.19	11.0	0.9647	
MEGAHIT-MetaBAT2-Sample_ID6-KJ_3_BOTTOM.3.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__						GCA_003154775.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__Acidoferrum sp003154775	89.57	0.477	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002478115.1, s__Acidoferrum typicum, 95.0, 89.61, 0.421	91.52	11.0	0.98842	
MEGAHIT-MetaBAT2-Sample_ID6-KJ_3_BOTTOM.4.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__						GCA_002478145.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__UBA7540 sp002478145	95.1	0.622	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__UBA7540;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		92.31	11.0	0.9871	
MEGAHIT-MetaBAT2-Sample_ID6-KJ_3_BOTTOM.5.fa	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__						GCA_002780715.1	95.0	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__UBA1163 sp002780715	87.17	0.17	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		90.15	11.0	0.92276	
